forecast_day,train_days,use_vst,use_lars,runtime_seconds
2025-11-06 00:00:00+01:00,56,True,False,42.971189208001306
2025-11-07 00:00:00+01:00,56,True,False,44.45240687500336
2025-11-08 00:00:00+01:00,56,True,False,44.20271079100348
2025-11-09 00:00:00+01:00,56,True,False,44.414240207996045
2025-11-10 00:00:00+01:00,56,True,False,45.2453711660055
2025-11-11 00:00:00+01:00,56,True,False,45.765388166000776
2025-11-12 00:00:00+01:00,56,True,False,45.70573416700063
2025-11-13 00:00:00+01:00,56,True,False,45.8450451250028
2025-11-14 00:00:00+01:00,56,True,False,44.932823082999676
2025-11-15 00:00:00+01:00,56,True,False,44.63737737500196
2025-11-16 00:00:00+01:00,56,True,False,43.79251933300111
2025-11-17 00:00:00+01:00,56,True,False,43.764790666995395
2025-11-18 00:00:00+01:00,56,True,False,44.87055070899805
2025-11-19 00:00:00+01:00,56,True,False,44.958611332993314
2025-11-20 00:00:00+01:00,56,True,False,44.600386250000156
2025-11-21 00:00:00+01:00,56,True,False,43.39754174999689
2025-11-22 00:00:00+01:00,56,True,False,44.87005712500104
2025-11-23 00:00:00+01:00,56,True,False,44.05873858300038
2025-11-24 00:00:00+01:00,56,True,False,43.95154737499979
2025-11-25 00:00:00+01:00,56,True,False,43.37631654099823
2025-11-26 00:00:00+01:00,56,True,False,42.722645249996276
2025-11-27 00:00:00+01:00,56,True,False,46.06418950000079
2025-11-28 00:00:00+01:00,56,True,False,51.50409149999905
2025-11-29 00:00:00+01:00,56,True,False,53.16307091599447
2025-11-30 00:00:00+01:00,56,True,False,53.42943424999976
2025-12-01 00:00:00+01:00,56,True,True,32.5408725840025
2025-12-02 00:00:00+01:00,56,True,True,46.43650062500092
2025-12-03 00:00:00+01:00,56,True,True,44.10440249999374
2025-12-04 00:00:00+01:00,56,True,True,40.905653083995276
2025-12-05 00:00:00+01:00,56,True,True,29.11029545799829
2025-12-06 00:00:00+01:00,56,True,True,27.11324783299642
2025-12-07 00:00:00+01:00,56,True,True,34.529663666995475
2025-12-08 00:00:00+01:00,56,True,True,28.379924041000777
2025-12-09 00:00:00+01:00,56,True,True,28.39876158300467
2025-12-10 00:00:00+01:00,56,True,True,30.047643042002164
2025-12-11 00:00:00+01:00,56,True,True,32.28458195900021
2025-12-12 00:00:00+01:00,56,True,True,30.580440582998563
2025-12-13 00:00:00+01:00,56,True,True,34.47544008299883
2025-12-14 00:00:00+01:00,56,True,True,31.250588791001064
2025-12-15 00:00:00+01:00,56,True,True,30.71153950000007
2025-12-16 00:00:00+01:00,56,True,True,32.26810704200034
2025-12-17 00:00:00+01:00,56,True,True,29.153776416002074
2025-12-18 00:00:00+01:00,56,True,True,27.974753167000017
2025-12-19 00:00:00+01:00,56,True,True,30.797038083001098
2025-12-20 00:00:00+01:00,56,True,True,39.83451766699727
2025-12-21 00:00:00+01:00,56,True,True,35.64510608400451
2025-12-22 00:00:00+01:00,56,True,True,36.79032566599926
2025-12-23 00:00:00+01:00,56,True,True,34.93315241600067
2025-12-24 00:00:00+01:00,56,True,True,36.398081999999704
2025-12-25 00:00:00+01:00,56,True,True,36.320064625004306
2025-12-26 00:00:00+01:00,56,True,True,35.87208758400084
2025-12-27 00:00:00+01:00,56,True,True,33.03449562499736
2025-12-28 00:00:00+01:00,56,True,True,42.6694458330021
2025-12-29 00:00:00+01:00,56,True,True,31.00250079199759
2025-12-30 00:00:00+01:00,56,True,True,45.16352149999875
2025-12-31 00:00:00+01:00,56,True,True,47.469879541997216
2026-01-01 00:00:00+01:00,56,True,True,38.55167741700279
2026-01-02 00:00:00+01:00,56,True,True,43.88840762500331
2026-01-03 00:00:00+01:00,56,True,True,35.90155049999885
2026-01-04 00:00:00+01:00,56,True,True,45.15676133299712
2026-01-05 00:00:00+01:00,56,True,True,40.18733729100495
2026-01-06 00:00:00+01:00,56,True,True,41.06972920800035
2026-01-07 00:00:00+01:00,56,True,True,37.1229042499981
2026-01-08 00:00:00+01:00,56,True,True,46.274015250004595
2026-01-09 00:00:00+01:00,56,True,True,40.743973750002624
2026-01-10 00:00:00+01:00,56,True,True,33.589772500003164
2026-01-11 00:00:00+01:00,56,True,True,38.64254433399765
2026-01-12 00:00:00+01:00,56,True,True,29.986954416002845
2026-01-13 00:00:00+01:00,56,True,True,29.29619445800199
2026-01-14 00:00:00+01:00,56,True,True,52.10504470900196
2026-01-15 00:00:00+01:00,56,True,True,37.516368124997825
2026-01-16 00:00:00+01:00,56,True,True,38.03763125000114
2026-01-17 00:00:00+01:00,56,True,True,48.11962766699435
2026-01-18 00:00:00+01:00,56,True,True,32.95932512499712
2026-01-19 00:00:00+01:00,56,True,True,31.83542441699683
2026-01-20 00:00:00+01:00,56,True,True,31.044726917003572
2026-01-21 00:00:00+01:00,56,True,True,30.90028387500206
2026-01-22 00:00:00+01:00,56,True,True,31.128670541998872
2026-01-23 00:00:00+01:00,56,True,True,30.607216915996105
2026-01-24 00:00:00+01:00,56,True,True,30.271454042005644
2026-01-25 00:00:00+01:00,56,True,True,30.81917883300048
2026-01-26 00:00:00+01:00,56,True,True,34.203077457998006
2026-01-27 00:00:00+01:00,56,True,True,36.34509045899904
2026-01-28 00:00:00+01:00,56,True,True,38.79852029200265
2026-01-29 00:00:00+01:00,56,True,True,29.885264750002534
2026-01-30 00:00:00+01:00,56,True,True,30.70810524999979
2026-01-31 00:00:00+01:00,56,True,True,27.963201209000545
2026-02-01 00:00:00+01:00,56,True,True,31.933190458003082
2026-02-02 00:00:00+01:00,56,True,True,30.12079362499935
2026-02-03 00:00:00+01:00,56,True,True,40.82235304200003
2026-02-04 00:00:00+01:00,56,True,True,33.38102616700053
2026-02-05 00:00:00+01:00,56,True,True,46.509809458002564
2026-02-06 00:00:00+01:00,56,True,True,50.07036162500299
2026-02-07 00:00:00+01:00,56,True,True,46.39369058399461
2026-02-08 00:00:00+01:00,56,True,True,43.497331792001205
2026-02-09 00:00:00+01:00,56,True,True,39.15401604199724
2026-02-10 00:00:00+01:00,56,True,True,37.95582429100614
2026-02-11 00:00:00+01:00,56,True,True,44.49118758300028
2026-02-12 00:00:00+01:00,56,True,True,35.9249676249965
2026-02-13 00:00:00+01:00,56,True,True,41.03408199999831
2026-02-14 00:00:00+01:00,56,True,True,32.351101416003075
2026-02-15 00:00:00+01:00,56,True,True,34.86694029100181
2026-02-16 00:00:00+01:00,56,True,True,32.14598595899588
2026-02-17 00:00:00+01:00,56,True,True,32.04937145800068
2026-02-18 00:00:00+01:00,56,True,True,37.88045879200217
2026-02-19 00:00:00+01:00,56,True,True,38.89981537499989
2026-02-20 00:00:00+01:00,56,True,True,35.50801825000235
2026-02-21 00:00:00+01:00,56,True,True,35.97776574999443
2026-02-22 00:00:00+01:00,56,True,True,36.73596358299983
2026-02-23 00:00:00+01:00,56,True,True,36.25853620899579
2026-02-24 00:00:00+01:00,56,True,True,36.2858861670029
2026-02-25 00:00:00+01:00,56,True,True,33.59566483399976
2026-02-26 00:00:00+01:00,56,True,True,32.11243708300026
2026-02-27 00:00:00+01:00,56,True,True,40.375514084000315
2026-02-28 00:00:00+01:00,56,True,True,59.91647533400101
